#,ごい,ローマ字,かな,Type,Meaning
480,散歩,sanpo,さんぽ,"Noun, Verb, Suru verb",walk; stroll
481,再来年,sarainen,さらいねん,Noun,year after next
482,差す,sasu,さす,"Verb, Godan verb, Transitive verb","to stretch out hands, to raise an umbrella"
483,砂糖,satou,さとう,Noun,sugar
484,背,se,せ,Noun,height; stature; back; spine
485,背広,sebiro,せびろ,Noun,business suit
486,セーター,seetaa,,"Noun, Katakana",sweater; jumper
487,生徒,seito,せいと,Noun,pupil; student
488,石鹼,sekken,せっけん,Noun,soap
489,狭い,semai,せまい,い-adjective,narrow
490,千,sen,せん,"Noun, Numeric","1,000; thousand"
491,先月,sengetsu,せんげつ,Noun,last month
492,先生,sensei,せんせい,"Noun, Suffix",teacher; instructor; master
493,先週,senshuu,せんしゅう,Noun,last week
494,洗濯,sentaku,せんたく,"Noun, Suru verb",washing; laundry
495,写真,shashin,しゃしん,Noun,photograph; photo
496,シャツ,shatsu,,"Noun, Katakana",shirt
497,シャワー,shawaa,,"Noun, Katakana",shower
498,四,shi,し,"Noun, Numeric",four; 4
499,七,shichi,しち,"Noun, Numeric",seven; 7
500,仕事,shigoto,しごと,"Noun, Verb, Suru verb",work; job; business
